id,plan_name,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source,iso3
1034,Pakistan Humanitarian Response Plan 2021,0,Total,Targeted,target,4291405,Total,Total,Plan Caseload Final HRP,HRP,PAK
1034,Pakistan Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,2595336,Total,Total,Plan Caseload Final HRP,HRP,PAK
1035,Iraq Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,40200000,Total,Total,Plan Caseload,"",IRQ
1035,Iraq Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload,"",IRQ
1035,Iraq Humanitarian Response Plan 2021,0,Total,In Need,inNeed,4100000,Total,Total,Plan Caseload,"",IRQ
1035,Iraq Humanitarian Response Plan 2021,0,Total,Targeted,target,1500000,Total,Total,Plan Caseload,"",IRQ
1035,Iraq Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,1200000,Total,Total,Plan Caseload,"",IRQ
1036,Mali Plan de Réponse Humanitaire 2021,0,Total,Population,totalPopulation,20542003,Total,Total,Final HRP Caseload,HRP 2021,MLI
1036,Mali Plan de Réponse Humanitaire 2021,0,Total,Affectées,affected,,Total,Total,Final HRP Caseload,HRP 2021,MLI
1036,Mali Plan de Réponse Humanitaire 2021,0,Total,Dans le besoin,inNeed,5917269,Total,Total,Final HRP Caseload,HRP 2021,MLI
1036,Mali Plan de Réponse Humanitaire 2021,0,Total,Ciblées,target,4745063,Total,Total,Final HRP Caseload,HRP 2021,MLI
1036,Mali Plan de Réponse Humanitaire 2021,0,Total,Atteintes Attendues,expectedReach,2450000,Total,Total,Final HRP Caseload,HRP 2021,MLI
1037,Burkina Faso Plan de Réponse Humanitaire 2021,0,Total,Population,totalPopulation,21500000,Total,Total,Personnes dans le besoin et ciblées pour une assistance alimentaire,HRP2021,BFA
1037,Burkina Faso Plan de Réponse Humanitaire 2021,0,Total,Affectées,affected,,Total,Total,Personnes dans le besoin et ciblées pour une assistance alimentaire,HRP2021,BFA
1037,Burkina Faso Plan de Réponse Humanitaire 2021,0,Total,Dans le besoin,inNeed,3533773,Total,Total,Personnes dans le besoin et ciblées pour une assistance alimentaire,HRP2021,BFA
1037,Burkina Faso Plan de Réponse Humanitaire 2021,0,Total,Ciblées,target,2920010,Total,Total,Personnes dans le besoin et ciblées pour une assistance alimentaire,HRP2021,BFA
1037,Burkina Faso Plan de Réponse Humanitaire 2021,0,Total,Atteintes Attendues,expectedReach,1600000,Total,Total,Personnes dans le besoin et ciblées pour une assistance alimentaire,HRP2021,BFA
1038,Regional Migrant Humanitarian Response Plan for the Horn of Africa and Yemen 2021,0,Total,Population,totalPopulation,,Total,Total,Final caseload,"",DJI; SOM; ETH; YEM
1038,Regional Migrant Humanitarian Response Plan for the Horn of Africa and Yemen 2021,0,Total,Affected,affected,1700000,Total,Total,Final caseload,"",DJI; SOM; ETH; YEM
1038,Regional Migrant Humanitarian Response Plan for the Horn of Africa and Yemen 2021,0,Total,In Need,inNeed,613667,Total,Total,Final caseload,"",DJI; SOM; ETH; YEM
1038,Regional Migrant Humanitarian Response Plan for the Horn of Africa and Yemen 2021,0,Total,Targeted,target,311017,Total,Total,Final caseload,"",DJI; SOM; ETH; YEM
1038,Regional Migrant Humanitarian Response Plan for the Horn of Africa and Yemen 2021,0,Total,Expected Reach,expectedReach,,Total,Total,Final caseload,"",DJI; SOM; ETH; YEM
1039,Burundi Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,12574566,Total,Total,Plan Caseload,Burundi HRP 2021,BDI
1039,Burundi Humanitarian Response Plan 2021,0,Total,Affectées,affected,,Total,Total,Plan Caseload,Burundi HRP 2021,BDI
