aar_id,title,gsu_analysis_title,date,anl_id,code,country,area,overall_phase,p3_plus_population,p3_plus_population_percentage,analysis_date,fanalysis_date,current_from_date,current_thru_date,projected_from_date,projected_thru_date,second_projected_from_date,second_projected_thru_date,current_period_dates,projected_period_dates,second_projected_period_dates,analysis_period,estimated_population_current,estimated_population_projected,estimated_population_second_projected,group_name,aag_id,condition,period,census_population,view_level,phase1_C_population,phase1_C_percentage,phase6_C_population,phase6_C_percentage,overall_phase_C,phase2_C_population,phase2_C_percentage,phase3_C_population,phase3_C_percentage,phase4_C_population,phase4_C_percentage,phase5_C_population,phase5_C_percentage,phase3_P_population,phase3_P_percentage,phase6_P_population,phase6_P_percentage,overall_phase_P,phase2_P_population,phase2_P_percentage,phase5_P_population,phase5_P_percentage,phase4_P_population,phase4_P_percentage,phase1_P_population,phase1_P_percentage,phase3_A_population,phase3_A_percentage,phase6_A_population,phase6_A_percentage,overall_phase_A,phase1_A_population,phase1_A_percentage,phase2_A_population,phase2_A_percentage,phase4_A_population,phase4_A_percentage,phase5_A_population,phase5_A_percentage
24398154,Acute Food Insecurity September 2021 (2021B),Acute Food Insecurity Situation June - September 2021 and Projections for October - December 2021 and January - March 2022,"Nov 02, 2021",24398137,BI,Burundi,Plateaux secs de l`Est,2,185533,0.1,Sep 2021,20210906,Jun 2021,Sep 2021,Oct 2021,Dec 2021,Jan 2022,Mar 2022,Jun 2021 - Sep 2021,Oct 2021 - Dec 2021,Jan 2022 - Mar 2022,Jan 2022 - Mar 2022,1855339,1855339,1894171,,,A,C,12495569,area,742135,0.4,185533,0.1,2,927669,0.5,185533,0.1,0,0,0,0,278300,0.15,278300,0.15,2,834902,0.45,0,0,0,0,742135,0.4,189417,0.1,189417,0.1,2,852377,0.45,852377,0.45,0,0,0,0
23934895,Acute Food Insecurity April 2021 (Karamoja),Acute Food Insecurity and Acute Malnutrition Situation February 2021 - January 2022,"May 11, 2021",23934892,UG,Uganda,Nabilatuk,2,14070,0.15,Apr 2021,20210407,Mar 2021,Jul 2021,Aug 2021,Jan 2022,,,Mar 2021 - Jul 2021,Aug 2021 - Jan 2022,"",Aug 2021 - Jan 2022,93800,93800,0,,,A,P,42885900,area,28140,0.3,32830,0.35,3,32830,0.35,23450,0.25,9380,0.1,0,0,9380,0.1,14070,0.15,2,42210,0.45,0,0,4690,0.05,37520,0.4,,,,,,,,,,,,,
23934897,Acute Food Insecurity April 2021 (Karamoja),Acute Food Insecurity and Acute Malnutrition Situation February 2021 - January 2022,"May 11, 2021",23934892,UG,Uganda,Nakapiripirit,2,17715,0.15,Apr 2021,20210407,Mar 2021,Jul 2021,Aug 2021,Jan 2022,,,Mar 2021 - Jul 2021,Aug 2021 - Jan 2022,"",Aug 2021 - Jan 2022,118100,118100,0,,,A,C,42885900,area,41335,0.35,17715,0.15,2,59050,0.5,17715,0.15,0,0,0,0,5905,0.05,5905,0.05,2,53145,0.45,0,0,0,0,59050,0.5,,,,,,,,,,,,,
23934899,Acute Food Insecurity April 2021 (Karamoja),Acute Food Insecurity and Acute Malnutrition Situation February 2021 - January 2022,"May 11, 2021",23934892,UG,Uganda,Abim,2,16290,0.1,Apr 2021,20210407,Mar 2021,Jul 2021,Aug 2021,Jan 2022,,,Mar 2021 - Jul 2021,Aug 2021 - Jan 2022,"",Aug 2021 - Jan 2022,162900,162900,0,,,A,P,42885900,area,65160,0.4,40725,0.25,3,57015,0.35,32580,0.2,8145,0.05,0,0,16290,0.1,16290,0.1,2,57015,0.35,0,0,0,0,89595,0.55,,,,,,,,,,,,,
23934901,Acute Food Insecurity April 2021 (Karamoja),Acute Food Insecurity and Acute Malnutrition Situation February 2021 - January 2022,"May 11, 2021",23934892,UG,Uganda,Kotido,3,63270,0.3,Apr 2021,20210407,Mar 2021,Jul 2021,Aug 2021,Jan 2022,,,Mar 2021 - Jul 2021,Aug 2021 - Jan 2022,"",Aug 2021 - Jan 2022,210900,210900,0,,,A,P,42885900,area,52725,0.25,94905,0.45,3,63270,0.3,73815,0.35,21090,0.1,0,0,52725,0.25,63270,0.3,3,73815,0.35,0,0,10545,0.05,73815,0.35,,,,,,,,,,,,,
23934903,Acute Food Insecurity April 2021 (Karamoja),Acute Food Insecurity and Acute Malnutrition Situation February 2021 - January 2022,"May 11, 2021",23934892,UG,Uganda,Amudat,2,14040,0.1,Apr 2021,20210407,Mar 2021,Jul 2021,Aug 2021,Jan 2022,,,Mar 2021 - Jul 2021,Aug 2021 - Jan 2022,"",Aug 2021 - Jan 2022,140400,140400,0,,,A,C,42885900,area,84240,0.6,14040,0.1,2,42120,0.3,14040,0.1,0,0,0,0,7020,0.05,7020,0.05,2,35100,0.25,0,0,0,0,98280,0.7,,,,,,,,,,,,,
23934905,Acute Food Insecurity April 2021 (Karamoja),Acute Food Insecurity and Acute Malnutrition Situation February 2021 - January 2022,"May 11, 2021",23934892,UG,Uganda,Moroto,3,24240,0.2,Apr 2021,20210407,Mar 2021,Jul 2021,Aug 2021,Jan 2022,,,Mar 2021 - Jul 2021,Aug 2021 - Jan 2022,"",Aug 2021 - Jan 2022,121200,121200,0,,,A,P,42885900,area,24240,0.2,42420,0.35,3,54540,0.45,30300,0.25,12120,0.1,0,0,18180,0.15,24240,0.2,3,54540,0.45,0,0,6060,0.05,42420,0.35,,,,,,,,,,,,,
23934907,Acute Food Insecurity April 2021 (Karamoja),Acute Food Insecurity and Acute Malnutrition Situation February 2021 - January 2022,"May 11, 2021",23934892,UG,Uganda,Napak,2,24150,0.15,Apr 2021,20210407,Mar 2021,Jul 2021,Aug 2021,Jan 2022,,,Mar 2021 - Jul 2021,Aug 2021 - Jan 2022,"",Aug 2021 - Jan 2022,161000,161000,0,,,A,P,42885900,area,40250,0.25,56350,0.35,3,64400,0.4,48300,0.3,8050,0.05,0,0,24150,0.15,24150,0.15,2,72450,0.45,0,0,0,0,64400,0.4,,,,,,,,,,,,,
23934909,Acute Food Insecurity April 2021 (Karamoja),Acute Food Insecurity and Acute Malnutrition Situation February 2021 - January 2022,"May 11, 2021",23934892,UG,Uganda,Kaabong,3,51440,0.4,Apr 2021,20210407,Mar 2021,Jul 2021,Aug 2021,Jan 2022,,,Mar 2021 - Jul 2021,Aug 2021 - Jan 2022,"",Aug 2021 - Jan 2022,128600,128600,0,,,A,C,42885900,area,45010,0.35,51440,0.4,3,32150,0.25,38580,0.3,12860,0.1,0,0,19290,0.15,25720,0.2,3,57870,0.45,0,0,6430,0.05,45010,0.35,,,,,,,,,,,,,
23934911,Acute Food Insecurity April 2021 (Karamoja),Acute Food Insecurity and Acute Malnutrition Situation February 2021 - January 2022,"May 11, 2021",23934892,UG,Uganda,Karenga,2,10485,0.15,Apr 2021,20210407,Mar 2021,Jul 2021,Aug 2021,Jan 2022,,,Mar 2021 - Jul 2021,Aug 2021 - Jan 2022,"",Aug 2021 - Jan 2022,69900,69900,0,,,A,C,42885900,area,31455,0.45,10485,0.15,2,27960,0.4,6990,0.1,3495,0.05,0,0,6990,0.1,6990,0.1,2,24465,0.35,0,0,0,0,38445,0.55,,,,,,,,,,,,,
